Pokemon_1 ,Type_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2 ,Type_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index
Lunala,Psychic,137,113,89,97,436,Gourgeist Small Size,Ghost,55,85,122,99,248,1,9144
Nihilego,Rock,109,53,47,103,312,Gourgeist Super Size,Ghost,85,100,122,54,308,1,9145
Buzzwole,Bug,107,139,139,79,464,Haunter,Ghost,45,50,45,95,200.25,1,9146
Pheromosa,Bug,71,137,37,151,396,Lampent,Ghost,60,40,60,55,180.75,1,9147
Xurkitree,Electric,83,89,71,83,326,Litwick,Ghost,50,30,55,20,66,1,9148
Celesteela,Steel,97,101,103,61,362,Mega Banette,Ghost,64,165,75,75,278,1,9149
Kartana,Grass,59,181,131,109,480,Mega Gengar,Ghost,60,65,80,130,244.5,1,9150
Guzzlord,Dark,223,101,53,43,420,Mimikyu,Ghost,55,90,80,96,220,1,9151
Necrozma,Psychic,97,107,101,79,384,Misdreavus,Ghost,60,60,60,85,158,1,9152
Dusk Mane Necrozma,Psychic,97,157,127,77,458,Mismagius,Ghost,60,60,60,105,128,1,9153
Dawn Wings Necrozma,Psychic,97,113,109,77,396,Oricorio Sensu Style,Ghost,75,70,70,93,195,1,9154
Ultra Necrozma,Psychic,97,167,97,129,490,Palossand,Ghost,85,75,110,35,138,1,9155
Magearna,Steel,80,95,115,65,355,Phantump,Ghost,43,70,48,38,104,1,9156
Marshadow,Fighting,90,125,80,125,420,Polteageist,Ghost,60,65,65,70,135,1,9157
Poipole,Poison,67,73,67,73,280,Pumpkaboo Average Size,Ghost,49,66,70,51,163,1,9158
Naganadel,Poison,73,73,73,121,340,Pumpkaboo Large Size,Ghost,54,66,70,46,163,1,9159
Stakataka,Rock,61,131,211,13,416,Pumpkaboo Small Size,Ghost,44,66,70,56,105,1,9160
Blacephalon,Fire,53,127,53,107,340,Pumpkaboo Super Size,Ghost,59,66,70,41,-18,1,9161
Zeraora,Electric,88,112,75,143,418,Sandygast,Ghost,55,55,80,15,205,1,9162
Meltan,Steel,46,65,65,34,210,Shuppet,Ghost,44,75,35,45,134,1,9163
Melmetal,Steel,135,143,143,34,455,Sinistea,Ghost,40,45,45,50,37,1,9164
Grookey,Grass,50,65,50,65,230,Spiritomb,Ghost,50,92,108,35,220,1,9165
Thwackey,Grass,70,85,70,80,305,Trevenant,Ghost,85,110,76,56,284.5,1,9166
Rillaboom,Grass,100,125,90,85,400,Yamask,Ghost,38,30,85,30,58,1,9167
Scorbunny,Fire,50,71,40,69,230,Banette,Ghost,64,115,65,65,238,0,9168
Raboot,Fire,65,86,60,94,305,Chandelure,Ghost,60,55,90,80,285,1,9169
Cinderace,Fire,80,116,75,119,390,Cofagrigus,Ghost,58,50,145,30,167,1,9170
Sobble,Water,50,40,40,70,200,Cursola,Ghost,60,95,50,30,195,1,9171
Drizzile,Water,65,60,55,90,270,Dhelmise,Ghost,70,131,100,40,311,0,9172
Inteleon,Water,70,85,65,120,340,Drifblim,Ghost,150,80,44,80,269,1,9173
Skwovet,Normal,70,55,55,25,205,Drifloon,Ghost,90,50,34,70,244,0,9174
Greedent,Normal,120,95,95,20,330,Dusclops,Ghost,40,70,130,25,265,1,9175
Rookidee,Flying,38,47,35,57,177,Dusknoir,Ghost,45,100,135,45,278,0,9176
Corvisquire,Flying,68,67,55,77,267,Duskull,Ghost,20,40,90,25,108,1,9177
Corviknight,Flying,98,87,105,67,357,Galarian Corsola,Ghost,60,55,100,30,158,1,9178
Blipbug,Bug,25,20,20,45,110,Gastly,Ghost,30,35,30,80,170,0,9179
Dottler,Bug,50,35,80,30,195,Gengar,Ghost,60,65,60,110,286.25,0,9180
Orbeetle,Bug,60,45,110,90,305,Giratina Altered Forme,Ghost,150,100,120,90,437.5,0,9181
Nickit,Dark,40,28,28,50,146,Giratina Origin Forme,Ghost,150,120,100,90,404,0,9182
Thievul,Dark,70,58,58,90,276,Gourgeist Average Size,Ghost,65,90,122,84,245,1,9183
Gossifleur,Grass,40,40,60,10,150,Gourgeist Large Size,Ghost,75,95,122,69,341,0,9184
Eldegoss,Grass,60,50,90,60,260,Gourgeist Small Size,Ghost,55,85,122,99,336,0,9185
Wooloo,Normal,42,40,55,48,185,Gourgeist Super Size,Ghost,85,100,122,54,361,0,9186
Dubwool,Normal,72,80,100,88,340,Haunter,Ghost,45,50,45,95,235,1,9187
Chewtle,Water,50,64,50,44,208,Lampent,Ghost,60,40,60,55,87,1,9188
Drednaw,Water,90,115,90,74,369,Litwick,Ghost,50,30,55,20,-75,1,9189
Yamper,Electric,59,45,50,26,180,Mega Banette,Ghost,64,165,75,75,334,0,9190
Boltund,Electric,69,90,60,121,340,Mega Gengar,Ghost,60,65,80,130,245,1,9191
Rolycoly,Rock,30,40,50,30,150,Mimikyu,Ghost,55,90,80,96,281,0,9192
Carkol,Rock,80,60,90,50,280,Misdreavus,Ghost,60,60,60,85,205,1,9193
Coalossal,Rock,110,80,120,30,340,Mismagius,Ghost,60,60,60,105,205,1,9194
Applin,Grass,40,40,80,20,180,Oricorio Sensu Style,Ghost,75,70,70,93,288,0,9195
Flapple,Grass,70,110,80,70,330,Palossand,Ghost,85,75,110,35,85,1,9196
Appletun,Grass,110,85,80,30,305,Phantump,Ghost,43,70,48,38,156.5,1,9197
Silicobra,Ground,52,57,75,46,230,Polteageist,Ghost,60,65,65,70,203,1,9198
Sandaconda,Ground,72,107,125,71,375,Pumpkaboo Average Size,Ghost,49,66,70,51,182.5,1,9199
Cramorant,Flying,70,85,55,85,295,Pumpkaboo Large Size,Ghost,54,66,70,46,66,1,9200
Arrokuda,Water,41,63,40,66,210,Pumpkaboo Small Size,Ghost,44,66,70,56,204.5,1,9201
Barraskewda,Water,61,123,60,136,380,Pumpkaboo Super Size,Ghost,59,66,70,41,174.5,1,9202
Toxel,Electric,40,38,35,40,153,Sandygast,Ghost,55,55,80,15,205,0,9203
Toxtricity Low Key Form,Electric,75,98,70,75,318,Shuppet,Ghost,44,75,35,45,101,1,9204
Toxtricity Amped Form,Electric,75,98,70,75,318,Sinistea,Ghost,40,45,45,50,82,1,9205
Sizzlipede,Fire,50,65,45,45,205,Spiritomb,Ghost,50,92,108,35,220,0,9206
Centiskorch,Fire,100,115,65,65,345,Trevenant,Ghost,85,110,76,56,97,1,9207
Clobbopus,Fighting,50,68,60,32,210,Yamask,Ghost,38,30,85,30,115,1,9208
Grapploct,Fighting,80,118,90,42,330,Banette,Ghost,64,115,65,65,191,1,9209
Sinistea,Ghost,40,45,45,50,180,Chandelure,Ghost,60,55,90,80,195,0,9210
Polteageist,Ghost,60,65,65,70,260,Cofagrigus,Ghost,58,50,145,30,153,1,9211
Hatenna,Psychic,42,30,45,39,156,Cursola,Ghost,60,95,50,30,205,0,9212
Hattrem,Psychic,57,40,65,49,211,Dhelmise,Ghost,70,131,100,40,301,0,9213
Hatterene,Psychic,57,90,95,29,271,Drifblim,Ghost,150,80,44,80,264,1,9214
Impidimp,Dark,45,45,30,50,170,Drifloon,Ghost,90,50,34,70,154,1,9215
Morgrem,Dark,65,60,45,70,240,Dusclops,Ghost,40,70,130,25,145,1,9216
Grimmsnarl,Dark,95,120,65,60,340,Dusknoir,Ghost,45,100,135,45,85,1,9217
Obstagoon,Dark,93,90,101,95,379,Duskull,Ghost,20,40,90,25,-5,1,9218
Perrserker,Steel,70,110,100,50,330,Galarian Corsola,Ghost,60,55,100,30,135,1,9219
Cursola,Ghost,60,95,50,30,235,Gastly,Ghost,30,35,30,80,-15,1,9220
Sirfetch'd,Fighting,62,135,95,65,357,Gengar,Ghost,60,65,60,110,227.5,1,9221
Mr. Rime,Psychic,80,85,75,70,310,Giratina Altered Forme,Ghost,150,100,120,90,375,0,9222
Runerigus,Ground,58,95,145,30,328,Giratina Origin Forme,Ghost,150,120,100,90,460,0,9223
Milcery,Fairy,45,40,40,34,159,Gourgeist Average Size,Ghost,65,90,122,84,321,0,9224
Alcremie,Fairy,65,60,75,64,264,Gourgeist Large Size,Ghost,75,95,122,69,301,0,9225
Falinks,Fighting,65,100,100,75,340,Gourgeist Small Size,Ghost,55,85,122,99,261,1,9226
Pincurchin,Electric,48,101,95,15,259,Gourgeist Super Size,Ghost,85,100,122,54,310.5,0,9227
Snom,Ice,30,25,35,20,110,Haunter,Ghost,45,50,45,95,210,0,9228
Frosmoth,Ice,70,65,60,65,260,Lampent,Ghost,60,40,60,55,182.5,1,9229
Stonjourner,Rock,100,125,135,70,430,Litwick,Ghost,50,30,55,20,-95,1,9230
Eiscue Ice Face,Ice,75,80,110,50,315,Mega Banette,Ghost,64,165,75,75,299,1,9231
Eiscue Noice Face,Ice,75,80,70,130,355,Mega Gengar,Ghost,60,65,80,130,255,1,9232
Indeedee Male,Psychic,60,65,55,95,275,Mimikyu,Ghost,55,90,80,96,256,1,9233
Indeedee Female,Psychic,70,55,65,85,275,Misdreavus,Ghost,60,60,60,85,210,1,9234
Morpeko Full Belly Mode,Electric,58,95,58,97,308,Mismagius,Ghost,60,60,60,105,190,1,9235
Morpeko Hangry Mode,Electric,58,95,58,97,308,Oricorio Sensu Style,Ghost,75,70,70,93,118,1,9236
Cufant,Steel,72,80,49,40,241,Palossand,Ghost,85,75,110,35,225,1,9237
Copperajah,Steel,122,130,69,30,351,Phantump,Ghost,43,70,48,38,69,1,9238
Dracozolt,Electric,90,100,90,75,355,Polteageist,Ghost,60,65,65,70,160,1,9239
Arctozolt,Electric,90,100,90,55,335,Pumpkaboo Average Size,Ghost,49,66,70,51,186,1,9240
Dracovish,Water,90,90,100,75,355,Pumpkaboo Large Size,Ghost,54,66,70,46,191,1,9241
Arctovish,Water,90,90,100,55,335,Pumpkaboo Small Size,Ghost,44,66,70,56,191,1,9242
Duraludon,Steel,70,95,115,85,365,Pumpkaboo Super Size,Ghost,59,66,70,41,141,1,9243
Dreepy,Dragon,28,60,30,82,200,Sandygast,Ghost,55,55,80,15,145,1,9244
Drakloak,Dragon,68,80,50,102,300,Shuppet,Ghost,44,75,35,45,119,1,9245
Dragapult,Dragon,88,120,75,142,425,Sinistea,Ghost,40,45,45,50,60,1,9246
Zacian Crowned Sword,Fairy,92,170,115,148,525,Spiritomb,Ghost,50,92,108,35,-55,1,9247
Zacian Hero of Many Battles,Fairy,92,130,115,138,475,Trevenant,Ghost,85,110,76,56,197,1,9248
Zamazenta Crowned Shield,Fighting,92,130,145,128,495,Yamask,Ghost,38,30,85,30,53,1,9249
Zamazenta Hero of Many Battles,Fighting,92,130,115,138,475,Banette,Ghost,64,115,65,65,179,1,9250
Eternatus,Poison,140,85,95,130,450,Chandelure,Ghost,60,55,90,80,242.5,1,9251
Eternatus Eternamax,Poison,255,115,250,130,750,Cofagrigus,Ghost,58,50,145,30,225.5,1,9252
Bulbasaur,Grass,45,49,49,45,188,Abomasnow,Grass,90,92,75,60,292.5,0,9253
Ivysaur,Grass,60,62,63,60,245,Alolan Exeggutor,Grass,95,105,85,45,314.5,0,9254
Venusaur,Grass,80,82,83,80,325,Amoonguss,Grass,114,85,70,30,278.5,1,9255
Mega Venusaur,Grass,80,100,123,80,383,Appletun,Grass,110,85,80,30,280,1,9256
Charmander,Fire,39,52,43,65,199,Applin,Grass,40,40,80,20,128,1,9257
Charmeleon,Fire,58,64,58,80,260,Bayleef,Grass,60,62,80,60,134,1,9258
Charizard,Fire,78,84,78,100,340,Bellossom,Grass,75,80,95,50,132,1,9259
Mega Charizard X,Fire,78,130,111,100,419,Bellsprout,Grass,50,75,35,40,-60,1,9260
Mega Charizard Y,Fire,78,104,78,100,360,Bounsweet,Grass,42,30,38,32,-66,1,9261
Squirtle,Water,44,48,65,43,200,Breloom,Grass,60,130,80,70,316,0,9262
Wartortle,Water,59,63,80,58,260,Budew,Grass,40,30,35,55,128.5,1,9263
Blastoise,Water,79,83,100,78,340,Bulbasaur,Grass,45,49,49,45,146.5,1,9264
Mega Blastoise,Water,79,103,120,78,380,Cacnea,Grass,50,85,40,35,158.5,1,9265
Caterpie,Bug,45,30,35,45,155,Cacturne,Grass,70,115,60,55,180,0,9266
Metapod,Bug,50,20,55,30,155,Carnivine,Grass,74,100,72,46,252,0,9267
Butterfree,Bug,60,45,50,70,225,Cherrim,Grass,70,60,70,85,195,1,9268
Weedle,Bug,40,35,30,50,155,Cherubi,Grass,45,35,45,35,90,1,9269
Kakuna,Bug,45,25,50,35,155,Chesnaught,Grass,88,107,122,64,356,0,9270
Beedrill,Bug,65,90,40,75,270,Chespin,Grass,56,61,65,38,40,1,9271
Mega Beedrill,Bug,65,150,40,145,400,Chikorita,Grass,45,49,65,45,-96,1,9272
Pidgey,Normal,40,45,40,56,181,Cottonee,Grass,40,27,60,66,148,1,9273
Pidgeotto,Normal,63,60,55,71,249,Dartrix,Grass,78,75,75,52,220,1,9274
Pidgeot,Normal,83,80,75,101,339,Decidueye,Grass,78,107,75,70,330,1,9275
Mega Pidgeot,Normal,83,80,80,121,364,Eldegoss,Grass,60,50,90,60,180,1,9276
Rattata,Normal,30,56,35,72,193,Exeggcute,Grass,60,40,80,40,164,1,9277
Alolan Rattata,Dark,30,56,35,72,193,Exeggutor,Grass,95,95,85,55,218,0,9278
Raticate,Normal,55,81,60,97,293,Ferroseed,Grass,44,50,91,10,154.5,1,9279
Alolan Raticate,Dark,75,71,70,77,293,Ferrothorn,Grass,74,94,131,20,248,1,9280
Spearow,Normal,40,60,30,70,200,Flapple,Grass,70,110,80,70,270,0,9281
Fearow,Normal,65,90,65,100,320,Fomantis,Grass,40,55,35,35,75,1,9282
Ekans,Poison,35,60,44,55,194,Foongus,Grass,69,55,45,15,124,1,9283
Arbok,Poison,60,95,69,80,304,Gloom,Grass,60,65,70,40,140,1,9284
Pikachu,Electric,35,55,40,90,220,Gogoat,Grass,123,100,62,68,325.5,0,9285
Partner Pikachu,Electric,45,80,50,120,295,Gossifleur,Grass,40,40,60,10,110,1,9286
Raichu,Electric,60,90,55,110,315,Grookey,Grass,50,65,50,65,185,1,9287
Alolan Raichu,Electric,60,85,50,110,305,Grotle,Grass,75,89,85,36,242.5,1,9288
Sandshrew,Ground,50,75,85,40,250,Grovyle,Grass,50,65,45,95,217.5,1,9289
Alolan Sandshrew,Ice,50,75,90,40,255,Hoppip,Grass,35,35,40,50,-140,1,9290
Sandslash,Ground,75,100,110,65,350,Ivysaur,Grass,60,62,63,60,145,1,9291
Alolan Sandslash,Ice,75,100,120,65,360,Jumpluff,Grass,75,55,70,110,-90,1,9292
Nidoranâ™€,Poison,55,47,52,41,195,Kartana,Grass,59,181,131,109,480,0,9293
Nidorina,Poison,70,62,67,56,255,Leafeon,Grass,65,110,130,95,276,0,9294
Nidoqueen,Poison,90,92,87,76,345,Lilligant,Grass,70,60,75,90,111,1,9295
Nidoranâ™‚,Poison,46,57,40,50,193,Lurantis,Grass,70,105,90,45,196,0,9296
Nidorino,Poison,61,72,57,65,255,Maractus,Grass,75,86,67,60,144,1,9297
Nidoking,Poison,81,102,77,85,345,Mega Abomasnow,Grass,90,132,105,30,153,1,9298
Clefairy,Fairy,70,45,48,35,198,Mega Sceptile,Grass,70,110,75,145,310,0,9299
Clefable,Fairy,95,70,73,60,298,Mega Venusaur,Grass,80,100,123,80,348,0,9300
Vulpix,Fire,38,41,40,65,184,Meganium,Grass,80,82,100,80,260,0,9301
Alolan Vulpix,Ice,38,41,40,65,184,Morelull,Grass,40,35,55,15,63,1,9302
Ninetales,Fire,73,76,75,100,324,Nuzleaf,Grass,70,70,40,60,88,1,9303
Alolan Ninetales,Ice,73,67,75,109,324,Oddish,Grass,45,50,55,30,46,1,9304
Jigglypuff,Normal,115,45,20,20,200,Pansage,Grass,50,53,48,64,170,1,9305
Wigglytuff,Normal,140,70,45,45,300,Petilil,Grass,45,35,50,30,90,1,9306
Zubat,Poison,40,45,35,55,175,Quilladin,Grass,61,78,95,57,201,0,9307
Golbat,Poison,75,80,70,90,315,Rillaboom,Grass,100,125,90,85,240,1,9308
Oddish,Grass,45,50,55,30,180,Roselia,Grass,50,60,45,65,207.5,0,9309
Gloom,Grass,60,65,70,40,235,Roserade,Grass,60,70,65,90,268.75,0,9310
Vileplume,Grass,75,80,85,50,290,Rowlet,Grass,68,55,55,42,200,1,9311
Paras,Bug,35,70,55,25,185,Sceptile,Grass,70,85,65,120,200,0,9312
Parasect,Bug,60,95,80,30,265,Seedot,Grass,40,40,50,30,-30,1,9313
Venonat,Bug,60,55,50,45,210,Serperior,Grass,75,75,95,113,248,0,9314
Venomoth,Bug,70,65,60,90,285,Servine,Grass,60,60,75,83,148,1,9315
Diglett,Ground,10,55,25,95,185,Shaymin Land Forme,Grass,100,100,100,100,372.5,0,9316
Alolan Diglett,Ground,10,55,30,90,185,Shaymin Sky Forme,Grass,100,103,75,127,405,0,9317
Dugtrio,Ground,35,100,50,120,305,Shiftry,Grass,90,100,60,80,280,1,9318
Alolan Dugtrio,Ground,35,100,60,110,305,Shiinotic,Grass,60,45,80,30,165,1,9319
Meowth,Normal,40,45,35,90,210,Shroomish,Grass,60,40,60,35,150,1,9320
Alolan Meowth,Dark,40,35,35,90,200,Simisage,Grass,75,98,63,101,302,0,9321
Galarian Meowth,Steel,50,65,55,40,210,Skiddo,Grass,66,65,48,52,166,1,9322
Persian,Normal,65,70,60,115,310,Skiploom,Grass,55,45,50,80,160,1,9323
Alolan Persian,Dark,65,60,60,115,300,Snivy,Grass,45,45,55,63,148,1,9324
Psyduck,Water,50,52,48,55,205,Snover,Grass,60,62,50,40,186,1,9325
Golduck,Water,80,82,78,85,325,Steenee,Grass,52,40,48,62,161,1,9326
Mankey,Fighting,40,80,35,70,225,Sunflora,Grass,75,75,55,30,155,1,9327
Primeape,Fighting,65,105,60,95,325,Sunkern,Grass,30,30,30,30,15,1,9328
Growlithe,Fire,55,70,45,60,230,Tangela,Grass,65,55,115,60,155,1,9329
Arcanine,Fire,90,110,80,95,375,Tangrowth,Grass,100,100,125,50,155,1,9330
Poliwag,Water,40,50,40,90,220,Tapu Bulu,Grass,70,130,115,75,365,0,9331
Poliwhirl,Water,65,65,65,90,285,Thwackey,Grass,70,85,70,80,272.5,1,9332
Poliwrath,Water,90,95,95,70,350,Torterra,Grass,95,109,105,56,270,1,9333
Abra,Psychic,25,20,15,90,150,Treecko,Grass,40,45,35,70,170,0,9334
Kadabra,Psychic,40,35,30,105,210,Tropius,Grass,99,68,83,51,266,0,9335
Alakazam,Psychic,55,50,45,120,270,Tsareena,Grass,72,120,98,72,312,0,9336
Mega Alakazam,Psychic,55,50,65,150,320,Turtwig,Grass,55,68,64,31,168,1,9337
Machop,Fighting,70,80,50,35,235,Venusaur,Grass,80,82,83,80,285,0,9338
Machoke,Fighting,80,100,70,45,295,Victreebel,Grass,80,105,65,70,270,1,9339
Machamp,Fighting,90,130,80,55,355,Vileplume,Grass,75,80,85,50,225,1,9340
Bellsprout,Grass,50,75,35,40,200,Virizion,Grass,91,90,72,108,323.5,0,9341
Weepinbell,Grass,65,90,50,55,260,Weepinbell,Grass,65,90,50,55,237.5,1,9342
Victreebel,Grass,80,105,65,70,320,Whimsicott,Grass,60,67,85,116,275.5,1,9343
Tentacool,Water,40,40,35,70,185,Abomasnow,Grass,90,92,75,60,297,0,9344
Tentacruel,Water,80,70,65,100,315,Alolan Exeggutor,Grass,95,105,85,45,312.5,1,9345
Geodude,Rock,40,80,100,20,240,Amoonguss,Grass,114,85,70,30,219,1,9346
Alolan Geodude,Rock,40,80,100,20,240,Appletun,Grass,110,85,80,30,225,1,9347
Graveler,Rock,55,95,115,35,300,Applin,Grass,40,40,80,20,85,1,9348
Alolan Graveler,Rock,55,95,115,35,300,Bayleef,Grass,60,62,80,60,167,1,9349
Golem,Rock,80,120,130,45,375,Bellossom,Grass,75,80,95,50,180,1,9350
Alolan Golem,Rock,80,120,130,45,375,Bellsprout,Grass,50,75,35,40,80,1,9351
Ponyta,Fire,50,85,55,90,280,Bounsweet,Grass,42,30,38,32,-28,1,9352
Galarian Ponyta,Psychic,50,85,55,90,280,Breloom,Grass,60,130,80,70,170,1,9353
Rapidash,Fire,65,100,70,105,340,Budew,Grass,40,30,35,55,-40,1,9354
Galarian Rapidash,Psychic,65,100,70,105,340,Bulbasaur,Grass,45,49,49,45,-12,1,9355
Slowpoke,Water,90,65,65,15,235,Cacnea,Grass,50,85,40,35,177.5,1,9356
Slowbro,Water,95,75,110,30,310,Cacturne,Grass,70,115,60,55,262.5,1,9357
Mega Slowbro,Water,95,75,180,30,380,Carnivine,Grass,74,100,72,46,254.5,1,9358
Magnemite,Electric,25,35,70,45,175,Cherrim,Grass,70,60,70,85,267.5,0,9359
Magneton,Electric,50,60,95,70,275,Cherubi,Grass,45,35,45,35,130,1,9360
Farfetch'd,Normal,52,90,55,60,257,Chesnaught,Grass,88,107,122,64,291,0,9361
Galarian Farfetch'd,Fighting,52,95,55,55,257,Chespin,Grass,56,61,65,38,125,1,9362
Doduo,Normal,35,85,45,75,240,Chikorita,Grass,45,49,65,45,119,1,9363
Dodrio,Normal,60,110,70,110,350,Cottonee,Grass,40,27,60,66,83,1,9364
Seel,Water,65,45,55,45,210,Dartrix,Grass,78,75,75,52,257.5,0,9365
Dewgong,Water,90,70,80,70,310,Decidueye,Grass,78,107,75,70,295,1,9366
Grimer,Poison,80,80,50,25,235,Eldegoss,Grass,60,50,90,60,100,1,9367
Alolan Grimer,Poison,80,80,50,25,235,Exeggcute,Grass,60,40,80,40,60,1,9368
Muk,Poison,105,105,75,50,335,Exeggutor,Grass,95,95,85,55,120,1,9369
Alolan Muk,Poison,105,105,75,50,335,Ferroseed,Grass,44,50,91,10,195,1,9370
Shellder,Water,30,65,100,40,235,Ferrothorn,Grass,74,94,131,20,286.5,0,9371
Cloyster,Water,50,95,180,70,395,Flapple,Grass,70,110,80,70,306.25,1,9372
Gastly,Ghost,30,35,30,80,175,Fomantis,Grass,40,55,35,35,130,1,9373
Haunter,Ghost,45,50,45,95,235,Foongus,Grass,69,55,45,15,134,1,9374
Gengar,Ghost,60,65,60,110,295,Gloom,Grass,60,65,70,40,170,1,9375
Mega Gengar,Ghost,60,65,80,130,335,Gogoat,Grass,123,100,62,68,288,1,9376
Onix,Rock,35,45,160,70,310,Gossifleur,Grass,40,40,60,10,105,1,9377
Drowzee,Psychic,60,48,45,42,195,Grookey,Grass,50,65,50,65,182,1,9378
Hypno,Psychic,85,73,70,67,295,Grotle,Grass,75,89,85,36,212,1,9379
Krabby,Water,30,105,90,50,275,Grovyle,Grass,50,65,45,95,202.5,1,9380
Kingler,Water,55,130,115,75,375,Hoppip,Grass,35,35,40,50,95,1,9381
Voltorb,Electric,40,30,50,100,220,Ivysaur,Grass,60,62,63,60,230,0,9382
Electrode,Electric,60,50,70,150,330,Jumpluff,Grass,75,55,70,110,260,1,9383
Exeggcute,Grass,60,40,80,40,220,Kartana,Grass,59,181,131,109,470,0,9384
Exeggutor,Grass,95,95,85,55,330,Leafeon,Grass,65,110,130,95,352.5,0,9385
Alolan Exeggutor,Grass,95,105,85,45,330,Lilligant,Grass,70,60,75,90,242.5,1,9386
Cubone,Ground,50,50,95,35,230,Lurantis,Grass,70,105,90,45,285,0,9387
Marowak,Ground,60,80,110,45,295,Maractus,Grass,75,86,67,60,248,1,9388
Alolan Marowak,Fire,60,80,110,45,295,Mega Abomasnow,Grass,90,132,105,30,37,1,9389
Hitmonlee,Fighting,50,120,53,87,310,Mega Sceptile,Grass,70,110,75,145,160,1,9390
Hitmonchan,Fighting,50,105,79,76,310,Mega Venusaur,Grass,80,100,123,80,330.5,0,9391
Lickitung,Normal,90,55,75,30,250,Meganium,Grass,80,82,100,80,287,0,9392
Koffing,Poison,40,65,95,35,235,Morelull,Grass,40,35,55,15,-115,1,9393
Weezing,Poison,65,90,120,60,335,Nuzleaf,Grass,70,70,40,60,60,1,9394
Galarian Weezing,Poison,65,90,120,60,335,Oddish,Grass,45,50,55,30,90,1,9395
Rhyhorn,Ground,80,85,95,25,285,Pansage,Grass,50,53,48,64,172.5,1,9396
Rhydon,Ground,105,130,120,40,395,Petilil,Grass,45,35,50,30,95,1,9397
Chansey,Normal,250,5,5,50,310,Quilladin,Grass,61,78,95,57,286,1,9398
Tangela,Grass,65,55,115,60,295,Rillaboom,Grass,100,125,90,85,372.5,0,9399
Kangaskhan,Normal,105,95,80,90,370,Roselia,Grass,50,60,45,65,125,1,9400
Mega Kangaskhan,Normal,105,125,100,100,430,Roserade,Grass,60,70,65,90,160,1,9401
Horsea,Water,30,40,70,60,200,Rowlet,Grass,68,55,55,42,200,0,9402
Seadra,Water,55,65,95,85,300,Sceptile,Grass,70,85,65,120,307.5,0,9403
Goldeen,Water,45,67,60,63,235,Seedot,Grass,40,40,50,30,126.5,1,9404
Seaking,Water,80,92,65,68,305,Serperior,Grass,75,75,95,113,312,0,9405
Staryu,Water,30,45,55,85,215,Servine,Grass,60,60,75,83,255.5,0,9406
Starmie,Water,60,75,85,115,335,Shaymin Land Forme,Grass,100,100,100,100,362.5,0,9407
Mr. Mime,Psychic,40,45,65,90,240,Shaymin Sky Forme,Grass,100,103,75,127,360,0,9408
Galarian Mr. Mime,Psychic,50,65,65,100,280,Shiftry,Grass,90,100,60,80,330,0,9409
Scyther,Bug,70,110,80,105,365,Shiinotic,Grass,60,45,80,30,105,1,9410
Jynx,Ice,65,50,35,95,245,Shroomish,Grass,60,40,60,35,95,1,9411
Electabuzz,Electric,65,83,57,105,310,Simisage,Grass,75,98,63,101,295.5,1,9412
Magmar,Fire,65,95,57,93,310,Skiddo,Grass,66,65,48,52,41,1,9413
Pinsir,Bug,65,125,100,85,375,Skiploom,Grass,55,45,50,80,105,1,9414
Mega Pinsir,Bug,65,155,120,105,445,Snivy,Grass,45,45,55,63,-102,1,9415
Tauros,Normal,75,100,95,110,380,Snover,Grass,60,62,50,40,112,1,9416
Magikarp,Water,20,10,55,80,165,Steenee,Grass,52,40,48,62,197,0,9417
Gyarados,Water,95,125,79,81,380,Sunflora,Grass,75,75,55,30,172.5,1,9418
Mega Gyarados,Water,95,155,109,81,440,Sunkern,Grass,30,30,30,30,42.5,1,9419
Lapras,Water,130,85,80,60,355,Tangela,Grass,65,55,115,60,252.5,1,9420
Ditto,Normal,48,48,48,48,192,Tangrowth,Grass,100,100,125,50,327,0,9421
Eevee,Normal,55,55,50,55,215,Tapu Bulu,Grass,70,130,115,75,335,0,9422
Partner Eevee,Normal,65,75,70,75,285,Thwackey,Grass,70,85,70,80,230,1,9423
Vaporeon,Water,130,65,60,65,320,Torterra,Grass,95,109,105,56,300,1,9424
Jolteon,Electric,65,65,60,130,320,Treecko,Grass,40,45,35,70,157.5,1,9425
Flareon,Fire,65,130,60,65,320,Tropius,Grass,99,68,83,51,41,1,9426
Porygon,Normal,65,60,70,40,235,Tsareena,Grass,72,120,98,72,302,0,9427
Omanyte,Rock,35,40,100,35,210,Turtwig,Grass,55,68,64,31,178,1,9428
Omastar,Rock,70,60,125,55,310,Venusaur,Grass,80,82,83,80,265,1,9429
Kabuto,Rock,30,80,90,55,255,Victreebel,Grass,80,105,65,70,240,1,9430
Kabutops,Rock,60,115,105,80,360,Vileplume,Grass,75,80,85,50,175,1,9431
Aerodactyl,Rock,80,105,65,130,380,Virizion,Grass,91,90,72,108,308.5,1,9432
Mega Aerodactyl,Rock,80,135,85,150,450,Weepinbell,Grass,65,90,50,55,125,1,9433
Snorlax,Normal,160,110,65,30,365,Whimsicott,Grass,60,67,85,116,218,1,9434
Articuno,Ice,90,85,100,85,360,Abomasnow,Grass,90,92,75,60,232,1,9435
Zapdos,Electric,90,90,85,100,365,Alolan Exeggutor,Grass,95,105,85,45,307.5,1,9436
